id,epic,title,priority,status,passes,branch,qaAttempts,prNumber
US-001,Discovery,Search bar with live text filtering,1,qa-passed,true,feat/US-001-search-filter-merged,3,1
US-002,Discovery,Price range slider filter,2,ci-pending,false,feat/US-002-price-slider-v2,2,35
US-003,Discovery,Sort games by price or name,3,qa-passed,true,feat/US-003-sort-games-rebased-merged,1,6
US-004,Discovery,Player count filter chips,4,ci-pending,false,feat/US-004-player-count-filter-chips-v2,3,36
US-005,Discovery,Active filter summary bar with clear-all,5,dev-complete,false,feat/US-005-active-filter-summary-bar,0,10
US-006,Checkout & Payments,Multi-step checkout wizard,6,in-progress,false,feat/US-006-multi-step-checkout-wizard,0,11
US-007,Checkout & Payments,Order confirmation page,7,dev-complete,false,feat/US-007-order-confirmation-page,0,12
US-008,Checkout & Payments,Rental cart for multiple games,8,dev-complete,false,feat/US-008-rental-cart-drawer,0,13
US-009,Checkout & Payments,Availability calendar per game,9,dev-complete,false,feat/US-009-availability-calendar,0,14
US-010,User Accounts,Sign up and log in pages,10,dev-complete,false,feat/US-010-signup-login-pages,0,15
US-011,User Accounts,User profile page,11,dev-complete,false,feat/US-011-user-profile-page,0,16
US-012,User Accounts,Order history on profile,12,dev-complete,false,feat/US-012-order-history-profile,0,17
US-013,User Accounts,Wishlist and saved games,13,dev-complete,false,feat/US-013-wishlist-saved-games,1,18
US-014,Admin Dashboard,Admin layout and auth gate,14,dev-complete,false,feat/US-014-admin-layout,1,19
US-015,Admin Dashboard,Inventory management page,15,dev-complete,false,feat/US-015-inventory-management-page,1,21
US-016,Admin Dashboard,Orders management page,16,dev-complete,false,feat/US-016-orders-management-page,1,22
US-017,Admin Dashboard,Overview dashboard with KPI cards,17,dev-complete,false,feat/US-017-admin-overview-dashboard,1,23
US-018,Discovery,Add 'Browse all' CTA to zero-results empty state,18,dev-complete,false,feat/US-018-browse-all-empty-state,1,27
US-019,Checkout & Payments,Inline date validation on rental form,19,dev-complete,false,feat/US-019-inline-date-validation,1,28
US-020,Discovery,Category filter chips horizontally scrollable on mobile,20,dev-complete,false,feat/US-020-mobile-scroll-category-filter,1,29
US-021,Checkout & Payments,Live total price calculation in rental form,21,dev-complete,false,feat/US-021-live-price-calculation,1,30
